Datum;Preis
28/2/2019;56.00
1/3/2019;56.80
4/3/2019;56.40
5/3/2019;56.00
6/3/2019;56.00
7/3/2019;56.50
8/3/2019;55.80
11/3/2019;56.00
12/3/2019;55.60
13/3/2019;55.00
14/3/2019;55.30
15/3/2019;55.00
18/3/2019;54.20
19/3/2019;54.70
20/3/2019;54.70
21/3/2019;54.90
22/3/2019;54.40
25/3/2019;54.40
26/3/2019;54.70
27/3/2019;54.90
28/3/2019;54.50
29/3/2019;54.80
1/4/2019;55.00
2/4/2019;55.00
3/4/2019;55.50
4/4/2019;55.40
5/4/2019;55.80
8/4/2019;56.80
9/4/2019;56.70
10/4/2019;56.50
11/4/2019;57.00
12/4/2019;57.00
15/4/2019;56.50
16/4/2019;56.50
17/4/2019;57.00
18/4/2019;56.90
23/4/2019;58.00
24/4/2019;58.00
25/4/2019;58.00
26/4/2019;57.40
29/4/2019;56.80
30/4/2019;57.20
2/5/2019;58.00
3/5/2019;57.70
6/5/2019;57.10
7/5/2019;57.20
8/5/2019;57.10
9/5/2019;57.00
10/5/2019;57.10
13/5/2019;57.50
14/5/2019;57.30
15/5/2019;57.60
16/5/2019;59.00
17/5/2019;61.20
20/5/2019;61.10
21/5/2019;60.80
22/5/2019;60.20
23/5/2019;59.00
24/5/2019;58.00
27/5/2019;58.00
28/5/2019;58.70
29/5/2019;58.00
31/5/2019;57.00
3/6/2019;54.90
4/6/2019;54.00
5/6/2019;53.90
6/6/2019;53.40
7/6/2019;54.00
11/6/2019;54.20
12/6/2019;53.90
13/6/2019;54.40
14/6/2019;94.90
17/6/2019;55.40
18/6/2019;54.70
19/6/2019;55.00
20/6/2019;
21/6/2019;56.20
24/6/2019;56.20
25/6/2019;55.40
26/6/2019;56.10
27/6/2019;56.00
28/6/2019;55.60
1/7/2019;55.90
2/7/2019;54.70
3/7/2019;53.10
4/7/2019;53.10
5/7/2019;52.80
8/7/2019;53.40
9/7/2019;53.20
10/7/2019;53.80
11/7/2019;55.50
12/7/2019;55.00
15/7/2019;54.40
16/7/2019;53.80
17/7/2019;53.10
18/7/2019;52.30
19/7/2019;52.30
22/7/2019;53.00
23/7/2019;52.80
24/7/2019;53.70
25/7/2019;53.60
26/7/2019;53.60
29/7/2019;53.50
30/7/2019;53.70
31/7/2019;54.60
1/8/2019;54.50
2/8/2019;53.00
5/8/2019;52.20
6/8/2019;51.70
7/8/2019;50.70
8/8/2019;50.70
9/8/2019;51.40
12/8/2019;52.50
13/8/2019;52.70
14/8/2019;54.20
15/8/2019;
16/8/2019;53.70
19/8/2019;53.40
20/8/2019;53.30
21/8/2019;53.50
22/8/2019;53.50
23/8/2019;52.60
26/8/2019;52.50
27/8/2019;52.20
28/8/2019;52.90
29/8/2019;53.30
30/8/2019;54.00
2/9/2019;53.20
3/9/2019;52.70
4/9/2019;52.80
5/9/2019;53.70
6/9/2019;53.20
9/9/2019;53.90
10/9/2019;54.40
11/9/2019;54.30
12/9/2019;52.60
13/9/2019;52.50
16/9/2019;56.90
17/9/2019;58.30
18/9/2019;56.30
19/9/2019;56.00
20/9/2019;56.50
23/9/2019;56.00
24/9/2019;55.10
25/9/2019;54.20
26/9/2019;54.50
27/9/2019;54.80
30/9/2019;54.40
1/10/2019;54.30
2/10/2019;53.60
4/10/2019;53.30
7/10/2019;53.70
8/10/2019;52.90
9/10/2019;53.10
10/11/2019;53.10
11/10/2019;53.90
14/10/2019;53.30
15/10/2019;52.70
16/10/2019;52.90
17/10/2019;52.70
18/10/2019;52.90
21/10/2019;52.50
22/10/2019;52.70
23/10/2019;52.70
24/10/2019;53.10
25/10/2019;53.40
28/10/2019;53.40
29/10/2019;52.80
